hour,rides,day_of_week,hour_of_day,previous_day,previous_week,calendar_profile,forecast,forecast_lower,forecast_upper
2024-01-25 00:00:00,551,3,0,568.0,357.0,604.6666666666666,604.6666666666666,0.0,2112.666666666667
2024-01-25 01:00:00,303,3,1,315.0,159.0,278.6666666666667,278.6666666666667,0.0,1786.666666666667
2024-01-25 02:00:00,190,3,2,177.0,99.0,200.0,200.0,0.0,1708.0000000000002
2024-01-25 03:00:00,108,3,3,141.0,61.0,138.33333333333334,138.33333333333334,0.0,1646.3333333333335
2024-01-25 04:00:00,128,3,4,191.0,140.0,198.33333333333334,198.33333333333334,0.0,1706.3333333333335
2024-01-25 05:00:00,458,3,5,750.0,539.0,704.6666666666666,704.6666666666666,0.0,2212.666666666667
2024-01-25 06:00:00,1264,3,6,2058.0,1487.0,2026.0,2026.0,0.0,3534.0
2024-01-25 07:00:00,2925,3,7,3693.0,3201.0,4366.666666666667,4366.666666666667,1989.3666666666668,5874.666666666667
2024-01-25 08:00:00,4059,3,8,6766.0,5098.0,6714.333333333333,6714.333333333333,4337.033333333333,8222.333333333334
2024-01-25 09:00:00,3372,3,9,5102.0,3334.0,4580.333333333333,4580.333333333333,2203.033333333333,6088.333333333333
2024-01-25 10:00:00,2178,3,10,3403.0,2310.0,3043.3333333333335,3043.3333333333335,666.0333333333333,4551.333333333334
2024-01-25 11:00:00,2889,3,11,2988.0,2062.0,2872.3333333333335,2872.3333333333335,495.0333333333333,4380.333333333334
2024-01-25 12:00:00,3668,3,12,3330.0,2248.0,3216.6666666666665,3216.6666666666665,839.3666666666663,4724.666666666667
2024-01-25 13:00:00,3858,3,13,3154.0,2345.0,3398.0,3398.0,1020.6999999999998,4906.0
2024-01-25 14:00:00,4460,3,14,3237.0,3022.0,4145.333333333333,4145.333333333333,1768.0333333333328,5653.333333333333
2024-01-25 15:00:00,5252,3,15,3424.0,3510.0,4820.0,4820.0,2442.7,6328.0
2024-01-25 16:00:00,6112,3,16,4086.0,4209.0,5695.0,5695.0,3317.7,7203.0
2024-01-25 17:00:00,8357,3,17,5652.0,5540.0,7371.666666666667,7371.666666666667,4994.366666666667,8879.666666666668
2024-01-25 18:00:00,7948,3,18,5287.0,5001.0,6518.333333333333,6518.333333333333,4141.033333333333,8026.333333333333
2024-01-25 19:00:00,5701,3,19,3431.0,3786.0,4681.333333333333,4681.333333333333,2304.033333333333,6189.333333333333
2024-01-25 20:00:00,4024,3,20,2660.0,2548.0,3125.3333333333335,3125.3333333333335,748.0333333333333,4633.333333333334
2024-01-25 21:00:00,3312,3,21,2366.0,1933.0,2369.6666666666665,2369.6666666666665,0.0,3877.666666666667
2024-01-25 22:00:00,2471,3,22,1920.0,1484.0,1755.3333333333333,1755.3333333333333,0.0,3263.3333333333335
2024-01-25 23:00:00,1269,3,23,1170.0,1022.0,1179.3333333333333,1179.3333333333333,0.0,2687.3333333333335
2024-01-26 00:00:00,713,4,0,551.0,596.0,691.6666666666666,691.6666666666666,0.0,2199.666666666667
2024-01-26 01:00:00,349,4,1,303.0,313.0,386.0,386.0,0.0,1894.0000000000002
2024-01-26 02:00:00,211,4,2,190.0,212.0,248.0,248.0,0.0,1756.0000000000002
2024-01-26 03:00:00,122,4,3,108.0,147.0,164.0,164.0,0.0,1672.0000000000002
2024-01-26 04:00:00,139,4,4,128.0,194.0,203.66666666666666,203.66666666666666,0.0,1711.666666666667
2024-01-26 05:00:00,445,4,5,458.0,560.0,650.6666666666666,650.6666666666666,0.0,2158.666666666667
2024-01-26 06:00:00,1328,4,6,1264.0,1480.0,1786.3333333333333,1786.3333333333333,0.0,3294.3333333333335
2024-01-26 07:00:00,2640,4,7,2925.0,3134.0,3809.3333333333335,3809.3333333333335,1432.0333333333333,5317.333333333334
2024-01-26 08:00:00,4004,4,8,4059.0,4616.0,5480.0,5480.0,3102.7,6988.0
2024-01-26 09:00:00,3441,4,9,3372.0,2906.0,3988.3333333333335,3988.3333333333335,1611.0333333333333,5496.333333333334
2024-01-26 10:00:00,2380,4,10,2178.0,2086.0,2990.6666666666665,2990.6666666666665,613.3666666666663,4498.666666666667
2024-01-26 11:00:00,3164,4,11,2889.0,1650.0,2967.6666666666665,2967.6666666666665,590.3666666666663,4475.666666666667
2024-01-26 12:00:00,3907,4,12,3668.0,1672.0,3362.3333333333335,3362.3333333333335,985.0333333333333,4870.333333333334
2024-01-26 13:00:00,4234,4,13,3858.0,1710.0,3651.3333333333335,3651.3333333333335,1274.0333333333333,5159.333333333334
2024-01-26 14:00:00,4860,4,14,4460.0,2007.0,4239.666666666667,4239.666666666667,1862.3666666666668,5747.666666666667
2024-01-26 15:00:00,5456,4,15,5252.0,2425.0,4891.333333333333,4891.333333333333,2514.033333333333,6399.333333333333
2024-01-26 16:00:00,6192,4,16,6112.0,3006.0,5317.0,5317.0,2939.7,6825.0
2024-01-26 17:00:00,7313,4,17,8357.0,3726.0,5886.666666666667,5886.666666666667,3509.366666666667,7394.666666666667
2024-01-26 18:00:00,5891,4,18,7948.0,3508.0,5318.666666666667,5318.666666666667,2941.366666666667,6826.666666666667
2024-01-26 19:00:00,4466,4,19,5701.0,2728.0,4040.6666666666665,4040.6666666666665,1663.3666666666663,5548.666666666667
2024-01-26 20:00:00,3640,4,20,4024.0,1813.0,2712.0,2712.0,334.6999999999998,4220.0
2024-01-26 21:00:00,2893,4,21,3312.0,1380.0,2098.0,2098.0,0.0,3606.0
2024-01-26 22:00:00,2445,4,22,2471.0,1165.0,1508.3333333333333,1508.3333333333333,0.0,3016.3333333333335
2024-01-26 23:00:00,2071,4,23,1269.0,1009.0,1079.0,1079.0,0.0,2587.0
2024-01-27 00:00:00,1589,5,0,713.0,733.0,760.6666666666666,760.6666666666666,0.0,2268.666666666667
2024-01-27 01:00:00,1232,5,1,349.0,482.0,480.0,480.0,0.0,1988.0000000000002
2024-01-27 02:00:00,800,5,2,211.0,320.0,302.6666666666667,302.6666666666667,0.0,1810.666666666667
2024-01-27 03:00:00,545,5,3,122.0,200.0,196.66666666666666,196.66666666666666,0.0,1704.666666666667
2024-01-27 04:00:00,341,5,4,139.0,144.0,170.33333333333334,170.33333333333334,0.0,1678.3333333333335
