hour,rides,date,day_name,day_of_week,hour_of_day,is_weekend,is_federal_holiday,temperature_c,precipitation_mm,snowfall_cm,wind_speed_kmh
2024-01-01 00:00:00,1898,2024-01-01,Monday,0,0,False,True,1.9,0.0,0.0,6.3
2024-01-01 01:00:00,2326,2024-01-01,Monday,0,1,False,True,1.8,0.0,0.0,8.9
2024-01-01 02:00:00,1929,2024-01-01,Monday,0,2,False,True,2.8,0.0,0.0,11.4
2024-01-01 03:00:00,1095,2024-01-01,Monday,0,3,False,True,2.9,0.0,0.0,9.7
2024-01-01 04:00:00,649,2024-01-01,Monday,0,4,False,True,2.8,0.0,0.0,8.1
2024-01-01 05:00:00,378,2024-01-01,Monday,0,5,False,True,0.7,0.0,0.0,7.5
2024-01-01 06:00:00,404,2024-01-01,Monday,0,6,False,True,0.2,0.0,0.0,8.6
2024-01-01 07:00:00,459,2024-01-01,Monday,0,7,False,True,1.5,0.0,0.0,3.7
2024-01-01 08:00:00,643,2024-01-01,Monday,0,8,False,True,1.9,0.0,0.0,5.0
2024-01-01 09:00:00,1072,2024-01-01,Monday,0,9,False,True,3.2,0.0,0.0,4.7
2024-01-01 10:00:00,1591,2024-01-01,Monday,0,10,False,True,3.8,0.0,0.0,5.0
2024-01-01 11:00:00,2372,2024-01-01,Monday,0,11,False,True,4.7,0.0,0.0,6.8
2024-01-01 12:00:00,3157,2024-01-01,Monday,0,12,False,True,5.6,0.0,0.0,6.5
2024-01-01 13:00:00,3605,2024-01-01,Monday,0,13,False,True,6.7,0.0,0.0,6.2
2024-01-01 14:00:00,4143,2024-01-01,Monday,0,14,False,True,7.7,0.0,0.0,8.2
2024-01-01 15:00:00,4342,2024-01-01,Monday,0,15,False,True,7.5,0.0,0.0,8.6
2024-01-01 16:00:00,4079,2024-01-01,Monday,0,16,False,True,7.3,0.0,0.0,8.9
2024-01-01 17:00:00,3214,2024-01-01,Monday,0,17,False,True,7.0,0.0,0.0,8.0
2024-01-01 18:00:00,2701,2024-01-01,Monday,0,18,False,True,4.8,0.0,0.0,6.8
2024-01-01 19:00:00,2172,2024-01-01,Monday,0,19,False,True,3.3,0.0,0.0,7.1
2024-01-01 20:00:00,1719,2024-01-01,Monday,0,20,False,True,2.0,0.0,0.0,7.1
2024-01-01 21:00:00,1460,2024-01-01,Monday,0,21,False,True,2.2,0.0,0.0,11.2
2024-01-01 22:00:00,1004,2024-01-01,Monday,0,22,False,True,1.7,0.0,0.0,13.7
2024-01-01 23:00:00,781,2024-01-01,Monday,0,23,False,True,0.7,0.0,0.0,14.3
2024-01-02 00:00:00,451,2024-01-02,Tuesday,1,0,False,False,-0.3,0.0,0.0,13.7
2024-01-02 01:00:00,274,2024-01-02,Tuesday,1,1,False,False,-1.1,0.0,0.0,12.8
2024-01-02 02:00:00,185,2024-01-02,Tuesday,1,2,False,False,-1.8,0.0,0.0,12.4
2024-01-02 03:00:00,119,2024-01-02,Tuesday,1,3,False,False,-2.2,0.0,0.0,10.8
2024-01-02 04:00:00,168,2024-01-02,Tuesday,1,4,False,False,-2.8,0.0,0.0,9.7
2024-01-02 05:00:00,635,2024-01-02,Tuesday,1,5,False,False,-3.4,0.0,0.0,8.8
2024-01-02 06:00:00,1802,2024-01-02,Tuesday,1,6,False,False,-3.9,0.0,0.0,8.4
2024-01-02 07:00:00,3687,2024-01-02,Tuesday,1,7,False,False,-4.2,0.0,0.0,7.0
2024-01-02 08:00:00,5255,2024-01-02,Tuesday,1,8,False,False,-4.6,0.0,0.0,6.4
2024-01-02 09:00:00,3642,2024-01-02,Tuesday,1,9,False,False,-2.8,0.0,0.0,8.1
2024-01-02 10:00:00,2562,2024-01-02,Tuesday,1,10,False,False,-0.9,0.0,0.0,9.0
2024-01-02 11:00:00,2836,2024-01-02,Tuesday,1,11,False,False,0.6,0.0,0.0,9.6
2024-01-02 12:00:00,3193,2024-01-02,Tuesday,1,12,False,False,2.2,0.0,0.0,9.2
2024-01-02 13:00:00,3594,2024-01-02,Tuesday,1,13,False,False,3.7,0.0,0.0,9.9
2024-01-02 14:00:00,4272,2024-01-02,Tuesday,1,14,False,False,4.8,0.0,0.0,10.8
2024-01-02 15:00:00,5011,2024-01-02,Tuesday,1,15,False,False,5.6,0.0,0.0,12.0
2024-01-02 16:00:00,5799,2024-01-02,Tuesday,1,16,False,False,5.7,0.0,0.0,11.8
2024-01-02 17:00:00,6957,2024-01-02,Tuesday,1,17,False,False,4.9,0.0,0.0,7.7
2024-01-02 18:00:00,5990,2024-01-02,Tuesday,1,18,False,False,1.5,0.0,0.0,9.6
2024-01-02 19:00:00,4123,2024-01-02,Tuesday,1,19,False,False,0.4,0.0,0.0,9.7
2024-01-02 20:00:00,2860,2024-01-02,Tuesday,1,20,False,False,0.0,0.0,0.0,7.6
2024-01-02 21:00:00,2092,2024-01-02,Tuesday,1,21,False,False,-0.1,0.0,0.0,7.6
2024-01-02 22:00:00,1517,2024-01-02,Tuesday,1,22,False,False,-0.6,0.0,0.0,8.5
2024-01-02 23:00:00,1003,2024-01-02,Tuesday,1,23,False,False,-0.6,0.0,0.0,8.6
2024-01-03 00:00:00,590,2024-01-03,Wednesday,2,0,False,False,-1.1,0.0,0.0,7.8
2024-01-03 01:00:00,329,2024-01-03,Wednesday,2,1,False,False,-1.5,0.0,0.0,8.0
2024-01-03 02:00:00,202,2024-01-03,Wednesday,2,2,False,False,-1.6,0.0,0.0,8.8
2024-01-03 03:00:00,134,2024-01-03,Wednesday,2,3,False,False,-2.0,0.0,0.0,8.0
2024-01-03 04:00:00,178,2024-01-03,Wednesday,2,4,False,False,-2.2,0.0,0.0,8.0
2024-01-03 05:00:00,749,2024-01-03,Wednesday,2,5,False,False,-2.3,0.0,0.0,8.0
2024-01-03 06:00:00,2086,2024-01-03,Wednesday,2,6,False,False,-2.2,0.0,0.0,8.0
2024-01-03 07:00:00,4401,2024-01-03,Wednesday,2,7,False,False,-2.1,0.0,0.0,7.6
2024-01-03 08:00:00,6520,2024-01-03,Wednesday,2,8,False,False,-1.9,0.0,0.0,7.7
2024-01-03 09:00:00,4543,2024-01-03,Wednesday,2,9,False,False,-0.6,0.0,0.0,9.8
2024-01-03 10:00:00,3175,2024-01-03,Wednesday,2,10,False,False,1.1,0.0,0.0,9.4
2024-01-03 11:00:00,3242,2024-01-03,Wednesday,2,11,False,False,3.0,0.0,0.0,10.2
2024-01-03 12:00:00,3695,2024-01-03,Wednesday,2,12,False,False,4.4,0.0,0.0,9.7
2024-01-03 13:00:00,3947,2024-01-03,Wednesday,2,13,False,False,5.4,0.0,0.0,10.7
2024-01-03 14:00:00,4619,2024-01-03,Wednesday,2,14,False,False,7.7,0.0,0.0,13.3
2024-01-03 15:00:00,5050,2024-01-03,Wednesday,2,15,False,False,7.4,0.0,0.0,13.3
2024-01-03 16:00:00,5909,2024-01-03,Wednesday,2,16,False,False,7.3,0.0,0.0,10.3
2024-01-03 17:00:00,7472,2024-01-03,Wednesday,2,17,False,False,5.9,0.0,0.0,8.9
2024-01-03 18:00:00,6613,2024-01-03,Wednesday,2,18,False,False,3.6,0.0,0.0,14.4
2024-01-03 19:00:00,4544,2024-01-03,Wednesday,2,19,False,False,3.1,0.0,0.0,13.0
2024-01-03 20:00:00,3077,2024-01-03,Wednesday,2,20,False,False,2.0,0.0,0.0,8.6
2024-01-03 21:00:00,2298,2024-01-03,Wednesday,2,21,False,False,1.7,0.0,0.0,8.2
2024-01-03 22:00:00,1830,2024-01-03,Wednesday,2,22,False,False,0.6,0.0,0.0,5.8
2024-01-03 23:00:00,1237,2024-01-03,Wednesday,2,23,False,False,-0.6,0.0,0.0,8.0
2024-01-04 00:00:00,707,2024-01-04,Thursday,3,0,False,False,-0.1,0.0,0.0,4.9
2024-01-04 01:00:00,318,2024-01-04,Thursday,3,1,False,False,0.9,0.0,0.0,4.3
2024-01-04 02:00:00,234,2024-01-04,Thursday,3,2,False,False,0.9,0.0,0.0,2.4
2024-01-04 03:00:00,161,2024-01-04,Thursday,3,3,False,False,0.8,0.0,0.0,4.3
