origin,hour,model,actual,forecast,error,abs_error
2024-03-01,2024-03-01 00:00:00,previous_day,797.0,562.0,235.0,235.0
2024-03-01,2024-03-01 01:00:00,previous_day,453.0,276.0,177.0,177.0
2024-03-01,2024-03-01 02:00:00,previous_day,311.0,170.0,141.0,141.0
2024-03-01,2024-03-01 03:00:00,previous_day,159.0,119.0,40.0,40.0
2024-03-01,2024-03-01 04:00:00,previous_day,208.0,190.0,18.0,18.0
2024-03-01,2024-03-01 05:00:00,previous_day,697.0,787.0,-90.0,90.0
2024-03-01,2024-03-01 06:00:00,previous_day,2013.0,2309.0,-296.0,296.0
2024-03-01,2024-03-01 07:00:00,previous_day,4271.0,5039.0,-768.0,768.0
2024-03-01,2024-03-01 08:00:00,previous_day,6333.0,7706.0,-1373.0,1373.0
2024-03-01,2024-03-01 09:00:00,previous_day,4605.0,5348.0,-743.0,743.0
2024-03-01,2024-03-01 10:00:00,previous_day,3665.0,3455.0,210.0,210.0
2024-03-01,2024-03-01 11:00:00,previous_day,3929.0,3216.0,713.0,713.0
2024-03-01,2024-03-01 12:00:00,previous_day,4517.0,3635.0,882.0,882.0
2024-03-01,2024-03-01 13:00:00,previous_day,4949.0,3882.0,1067.0,1067.0
2024-03-01,2024-03-01 14:00:00,previous_day,5719.0,4530.0,1189.0,1189.0
2024-03-01,2024-03-01 15:00:00,previous_day,6207.0,5265.0,942.0,942.0
2024-03-01,2024-03-01 16:00:00,previous_day,6926.0,6087.0,839.0,839.0
2024-03-01,2024-03-01 17:00:00,previous_day,8020.0,8569.0,-549.0,549.0
2024-03-01,2024-03-01 18:00:00,previous_day,6533.0,7403.0,-870.0,870.0
2024-03-01,2024-03-01 19:00:00,previous_day,4774.0,5320.0,-546.0,546.0
2024-03-01,2024-03-01 20:00:00,previous_day,3539.0,3590.0,-51.0,51.0
2024-03-01,2024-03-01 21:00:00,previous_day,2734.0,2672.0,62.0,62.0
2024-03-01,2024-03-01 22:00:00,previous_day,2401.0,2289.0,112.0,112.0
2024-03-01,2024-03-01 23:00:00,previous_day,1893.0,1487.0,406.0,406.0
2024-03-01,2024-03-01 00:00:00,previous_week,797.0,523.0,274.0,274.0
2024-03-01,2024-03-01 01:00:00,previous_week,453.0,337.0,116.0,116.0
2024-03-01,2024-03-01 02:00:00,previous_week,311.0,212.0,99.0,99.0
2024-03-01,2024-03-01 03:00:00,previous_week,159.0,174.0,-15.0,15.0
2024-03-01,2024-03-01 04:00:00,previous_week,208.0,193.0,15.0,15.0
2024-03-01,2024-03-01 05:00:00,previous_week,697.0,616.0,81.0,81.0
2024-03-01,2024-03-01 06:00:00,previous_week,2013.0,1755.0,258.0,258.0
