date,rides
2024-01-01,47193
2024-01-02,68027
2024-01-03,76440
2024-01-04,77421
2024-01-05,72389
2024-01-06,43244
2024-01-07,35649
2024-01-08,78400
2024-01-09,42994
2024-01-10,81537
2024-01-11,89095
2024-01-12,85982
2024-01-13,63805
2024-01-14,48861
2024-01-15,45523
2024-01-16,27332
2024-01-17,42741
2024-01-18,55495
2024-01-19,44043
2024-01-20,37184
2024-01-21,36279
2024-01-22,61034
2024-01-23,70620
2024-01-24,65869
2024-01-25,74857
2024-01-26,72304
2024-01-27,80150
2024-01-28,29722
2024-01-29,70734
2024-01-30,78234
2024-01-31,82789
2024-02-01,87622
2024-02-02,68606
2024-02-03,72317
2024-02-04,66292
2024-02-05,77047
2024-02-06,82051
2024-02-07,89612
2024-02-08,94878
2024-02-09,97099
2024-02-10,94447
2024-02-11,76934
2024-02-12,83741
2024-02-13,31999
2024-02-14,70876
2024-02-15,75441
2024-02-16,75481
2024-02-17,38098
2024-02-18,46402
2024-02-19,58429
2024-02-20,68427
2024-02-21,74322
2024-02-22,71198
2024-02-23,76215
2024-02-24,72115
2024-02-25,57152
2024-02-26,83139
2024-02-27,78360
2024-02-28,67566
2024-02-29,83906
2024-03-01,85653
2024-03-02,28075
2024-03-03,111843
2024-03-04,95371
2024-03-05,50140
2024-03-06,53281
2024-03-07,92986
2024-03-08,103518
2024-03-09,42101
2024-03-10,61727
2024-03-11,80048
2024-03-12,117694
2024-03-13,118879
2024-03-14,132256
2024-03-15,121677
2024-03-16,112091
2024-03-17,99947
2024-03-18,90197
2024-03-19,90096
2024-03-20,89430
2024-03-21,82408
2024-03-22,83998
2024-03-23,23391
2024-03-24,70824
2024-03-25,90830
2024-03-26,101966
2024-03-27,93123
2024-03-28,54476
2024-03-29,97011
2024-03-30,94875
2024-03-31,90659
2024-04-01,87054
2024-04-02,40313
2024-04-03,26538
2024-04-04,96836
2024-04-05,99835
2024-04-06,94842
2024-04-07,94816
2024-04-08,111076
2024-04-09,136249
2024-04-10,123018
2024-04-11,87444
2024-04-12,104985
2024-04-13,89504
2024-04-14,115474
2024-04-15,138776
2024-04-16,143155
2024-04-17,111409
2024-04-18,89066
2024-04-19,116447
2024-04-20,145037
2024-04-21,91962
2024-04-22,109698
2024-04-23,114565
2024-04-24,121186
2024-04-25,115345
2024-04-26,120046
2024-04-27,105441
2024-04-28,130805
2024-04-29,128911
2024-04-30,123116
2024-05-01,142905
2024-05-02,154202
2024-05-03,138905
2024-05-04,123514
2024-05-05,54080
2024-05-06,129153
2024-05-07,159181
2024-05-08,150334
2024-05-09,147666
2024-05-10,88599
2024-05-11,132471
2024-05-12,73697
2024-05-13,132814
2024-05-14,138455
2024-05-15,90757
2024-05-16,125328
2024-05-17,150741
2024-05-18,119228
2024-05-19,139940
2024-05-20,145650
2024-05-21,161029
2024-05-22,167866
2024-05-23,145344
2024-05-24,158662
2024-05-25,133362
2024-05-26,124949
2024-05-27,67701
2024-05-28,154496
2024-05-29,151651
2024-05-30,156274
2024-05-31,169694
2024-06-01,172587
2024-06-02,150042
2024-06-03,153627
2024-06-04,166967
2024-06-05,170702
2024-06-06,145020
2024-06-07,171815
2024-06-08,172338
2024-06-09,144554
2024-06-10,156700
2024-06-11,163302
2024-06-12,171854
2024-06-13,172491
2024-06-14,150513
2024-06-15,172395
2024-06-16,151161
2024-06-17,144678
2024-06-18,171378
2024-06-19,171029
2024-06-20,166966
2024-06-21,164084
2024-06-22,143472
2024-06-23,138590
2024-06-24,154327
2024-06-25,170527
2024-06-26,163986
2024-06-27,170723
2024-06-28,171646
2024-06-29,149883
2024-06-30,107828
2024-07-01,151798
2024-07-02,161949
2024-07-03,155691
2024-07-04,117561
2024-07-05,110953
2024-07-06,119803
2024-07-07,123242
2024-07-08,146981
2024-07-09,161039
2024-07-10,166723
2024-07-11,167194
2024-07-12,145249
2024-07-13,138842
2024-07-14,143923
2024-07-15,146635
2024-07-16,158813
2024-07-17,151181
2024-07-18,168218
2024-07-19,169320
2024-07-20,160055
2024-07-21,148479
2024-07-22,146628
2024-07-23,146887
2024-07-24,164749
2024-07-25,169589
2024-07-26,170744
2024-07-27,167266
2024-07-28,151131
2024-07-29,149832
2024-07-30,168905
2024-07-31,166245
2024-08-01,163943
2024-08-02,141425
2024-08-03,136048
2024-08-04,113221
2024-08-05,154356
2024-08-06,114965
2024-08-07,109140
2024-08-08,95776
2024-08-09,122404
2024-08-10,179154
2024-08-11,151751
2024-08-12,150737
2024-08-13,164966
2024-08-14,171493
2024-08-15,169821
2024-08-16,164098
2024-08-17,157367
2024-08-18,114893
2024-08-19,141484
2024-08-20,163979
2024-08-21,166883
2024-08-22,165896
2024-08-23,165112
2024-08-24,164234
2024-08-25,144595
2024-08-26,140952
2024-08-27,164611
2024-08-28,161039
2024-08-29,158950
2024-08-30,145924
2024-08-31,137312
2024-09-01,128143
2024-09-02,144058
2024-09-03,165183
2024-09-04,179539
2024-09-05,172847
2024-09-06,176540
2024-09-07,143348
2024-09-08,159938
2024-09-09,167616
2024-09-10,185108
2024-09-11,188982
2024-09-12,189051
2024-09-13,189457
2024-09-14,184973
2024-09-15,164477
2024-09-16,169476
2024-09-17,182880
2024-09-18,185724
2024-09-19,192443
2024-09-20,194055
2024-09-21,189627
2024-09-22,165007
2024-09-23,151936
