month,source_url,archive_file,archive_size_mb,rows_total,rows_valid,valid_rate,first_started_at,last_started_at,valid_rides_in_fixed_window
2024-01,https://s3.amazonaws.com/tripdata/202401-citibike-tripdata.zip,202401-citibike-tripdata.zip,369.04,1888085,1886109,0.9989534369480187,2023-12-31 21:40:09.191000,2024-01-31 23:58:30.270000,1885947
2024-02,https://s3.amazonaws.com/tripdata/202402-citibike-tripdata.zip,202402-citibike-tripdata.zip,414.71,2121501,2119759,0.9991788832529421,2024-01-31 22:48:25.745000,2024-02-29 23:56:05.845000,2119772
2024-03,https://s3.amazonaws.com/tripdata/202403-citibike-tripdata.zip,202403-citibike-tripdata.zip,520.75,2663295,2660492,0.998947544301326,2024-02-29 20:45:47.554000,2024-03-31 23:57:16.025000,2660571
2024-04,https://s3.amazonaws.com/tripdata/202404-citibike-tripdata.zip,202404-citibike-tripdata.zip,629.57,3217063,3213017,0.9987423311262478,2024-03-31 20:24:19.924000,2024-04-30 23:57:38.389000,3212949
2024-05,https://s3.amazonaws.com/tripdata/202405-citibike-tripdata.zip,202405-citibike-tripdata.zip,809.1,4133961,4127680,0.9984806339488931,2024-04-30 22:20:00.424000,2024-05-31 23:57:37.555000,4128648
2024-06,https://s3.amazonaws.com/tripdata/202406-citibike-tripdata.zip,202406-citibike-tripdata.zip,936.05,4783576,4775760,0.9983660759231169,2024-05-31 20:02:32.195000,2024-06-30 23:57:45.666000,4775185
2024-07,https://s3.amazonaws.com/tripdata/202407-citibike-tripdata.zip,202407-citibike-tripdata.zip,923.32,4722896,4715602,0.998455608592694,2024-06-30 20:27:15.894000,2024-07-31 23:57:41.895000,4715625
2024-08,https://s3.amazonaws.com/tripdata/202408-citibike-tripdata.zip,202408-citibike-tripdata.zip,900.04,4603575,4596258,0.9984105830794545,2024-07-31 20:24:12.663000,2024-08-31 23:57:12.197000,4596529
2024-09,https://s3.amazonaws.com/tripdata/202409-citibike-tripdata.zip,202409-citibike-tripdata.zip,976.53,4997898,4991804,0.9987806874009834,2024-08-31 20:38:32.539000,2024-09-30 23:58:48.114000,4991348
2024-10,https://s3.amazonaws.com/tripdata/202410-citibike-tripdata.zip,202410-citibike-tripdata.zip,1006.6,5150054,5144572,0.9989355451418568,2024-09-30 21:13:48.466000,2024-10-31 23:57:26.851000,5145143
2024-11,https://s3.amazonaws.com/tripdata/202411-citibike-tripdata.zip,202411-citibike-tripdata.zip,724.35,3710134,3706689,0.9990714621089157,2024-10-31 20:16:02.552000,2024-11-30 23:57:20.052000,3705932
2024-12,https://s3.amazonaws.com/tripdata/202412-citibike-tripdata.zip,202412-citibike-tripdata.zip,450.81,2311171,2310074,0.9995253488383161,2024-11-30 22:42:30.452000,2024-12-31 23:57:46.390000,2309821
