station_id_name,rides
6140.05 | W 21 St & 6 Ave,163396
6450.05 | 8 Ave & W 31 St,140584
5905.14 | University Pl & E 14 St,139906
5329.03 | West St & Chambers St,135842
5788.13 | Lafayette St & E 8 St,134399
6331.01 | W 31 St & 7 Ave,128210
5905.12 | Broadway & E 14 St,128078
6726.01 | 11 Ave & W 41 St,127534
6173.08 | Broadway & W 25 St,120840
6948.10 | Broadway & W 58 St,116864
6492.08 | 9 Ave & W 33 St,115948
6197.08 | E 33 St & 1 Ave,115229
6459.07 | W 30 St & 10 Ave,112747
6364.07 | 6 Ave & W 33 St,112441
6602.03 | W 41 St & 8 Ave,108174
5492.05 | Cleveland Pl & Spring St,107825
5779.11 | Ave A & E 14 St,107658
5308.04 | Metropolitan Ave & Bedford Ave,106041
6432.11 | E 40 St & Park Ave,105975
6765.01 | 12 Ave & W 40 St,105699
6072.06 | Greenwich Ave & 8 Ave,105692
5184.08 | West St & Liberty St,104765
6912.01 | 7 Ave & Central Park South,103359
6233.04 | Pier 61 at Chelsea Piers,102449
6876.04 | Central Park S & 6 Ave,102416
