origin,hour,model,actual,forecast,error,abs_error
2024-01-15,2024-01-15 00:00:00,previous_day,649.0,1060.0,-411.0,411.0
2024-01-15,2024-01-15 01:00:00,previous_day,318.0,805.0,-487.0,487.0
2024-01-15,2024-01-15 02:00:00,previous_day,198.0,483.0,-285.0,285.0
2024-01-15,2024-01-15 03:00:00,previous_day,135.0,393.0,-258.0,258.0
2024-01-15,2024-01-15 04:00:00,previous_day,158.0,235.0,-77.0,77.0
2024-01-15,2024-01-15 05:00:00,previous_day,348.0,192.0,156.0,156.0
2024-01-15,2024-01-15 06:00:00,previous_day,766.0,435.0,331.0,331.0
2024-01-15,2024-01-15 07:00:00,previous_day,1263.0,803.0,460.0,460.0
2024-01-15,2024-01-15 08:00:00,previous_day,2022.0,1429.0,593.0,593.0
2024-01-15,2024-01-15 09:00:00,previous_day,2364.0,2507.0,-143.0,143.0
2024-01-15,2024-01-15 10:00:00,previous_day,2767.0,3386.0,-619.0,619.0
2024-01-15,2024-01-15 11:00:00,previous_day,3042.0,4290.0,-1248.0,1248.0
2024-01-15,2024-01-15 12:00:00,previous_day,3263.0,4494.0,-1231.0,1231.0
2024-01-15,2024-01-15 13:00:00,previous_day,3429.0,3645.0,-216.0,216.0
2024-01-15,2024-01-15 14:00:00,previous_day,3570.0,3714.0,-144.0,144.0
2024-01-15,2024-01-15 15:00:00,previous_day,3887.0,3869.0,18.0,18.0
2024-01-15,2024-01-15 16:00:00,previous_day,3726.0,3889.0,-163.0,163.0
2024-01-15,2024-01-15 17:00:00,previous_day,3610.0,3102.0,508.0,508.0
2024-01-15,2024-01-15 18:00:00,previous_day,3314.0,2631.0,683.0,683.0
2024-01-15,2024-01-15 19:00:00,previous_day,2647.0,2212.0,435.0,435.0
2024-01-15,2024-01-15 20:00:00,previous_day,1831.0,1745.0,86.0,86.0
2024-01-15,2024-01-15 21:00:00,previous_day,1087.0,1309.0,-222.0,222.0
2024-01-15,2024-01-15 22:00:00,previous_day,668.0,1162.0,-494.0,494.0
2024-01-15,2024-01-15 23:00:00,previous_day,461.0,1071.0,-610.0,610.0
2024-01-15,2024-01-15 00:00:00,previous_week,649.0,473.0,176.0,176.0
2024-01-15,2024-01-15 01:00:00,previous_week,318.0,253.0,65.0,65.0
2024-01-15,2024-01-15 02:00:00,previous_week,198.0,169.0,29.0,29.0
2024-01-15,2024-01-15 03:00:00,previous_week,135.0,137.0,-2.0,2.0
2024-01-15,2024-01-15 04:00:00,previous_week,158.0,205.0,-47.0,47.0
2024-01-15,2024-01-15 05:00:00,previous_week,348.0,746.0,-398.0,398.0
2024-01-15,2024-01-15 06:00:00,previous_week,766.0,2128.0,-1362.0,1362.0
2024-01-15,2024-01-15 07:00:00,previous_week,1263.0,4625.0,-3362.0,3362.0
2024-01-15,2024-01-15 08:00:00,previous_week,2022.0,6780.0,-4758.0,4758.0
2024-01-15,2024-01-15 09:00:00,previous_week,2364.0,4407.0,-2043.0,2043.0
2024-01-15,2024-01-15 10:00:00,previous_week,2767.0,2962.0,-195.0,195.0
2024-01-15,2024-01-15 11:00:00,previous_week,3042.0,3051.0,-9.0,9.0
2024-01-15,2024-01-15 12:00:00,previous_week,3263.0,3353.0,-90.0,90.0
2024-01-15,2024-01-15 13:00:00,previous_week,3429.0,3746.0,-317.0,317.0
2024-01-15,2024-01-15 14:00:00,previous_week,3570.0,4566.0,-996.0,996.0
2024-01-15,2024-01-15 15:00:00,previous_week,3887.0,5319.0,-1432.0,1432.0
2024-01-15,2024-01-15 16:00:00,previous_week,3726.0,6175.0,-2449.0,2449.0
2024-01-15,2024-01-15 17:00:00,previous_week,3610.0,7695.0,-4085.0,4085.0
2024-01-15,2024-01-15 18:00:00,previous_week,3314.0,7439.0,-4125.0,4125.0
2024-01-15,2024-01-15 19:00:00,previous_week,2647.0,5164.0,-2517.0,2517.0
2024-01-15,2024-01-15 20:00:00,previous_week,1831.0,3389.0,-1558.0,1558.0
2024-01-15,2024-01-15 21:00:00,previous_week,1087.0,2385.0,-1298.0,1298.0
2024-01-15,2024-01-15 22:00:00,previous_week,668.0,1787.0,-1119.0,1119.0
2024-01-15,2024-01-15 23:00:00,previous_week,461.0,1446.0,-985.0,985.0
2024-01-15,2024-01-15 00:00:00,hour_of_day_profile,649.0,727.3571428571429,-78.35714285714289,78.35714285714289
2024-01-15,2024-01-15 01:00:00,hour_of_day_profile,318.0,515.4285714285714,-197.42857142857144,197.42857142857144
2024-01-15,2024-01-15 02:00:00,hour_of_day_profile,198.0,367.92857142857144,-169.92857142857144,169.92857142857144
