day_of_week,day_name,hour_of_day,rides
0,Monday,0,744.6
0,Monday,1,646.2
0,Monday,2,504.6
0,Monday,3,309.8
0,Monday,4,264.4
0,Monday,5,548.6
0,Monday,6,1349.4
0,Monday,7,2747.4
0,Monday,8,4256.4
0,Monday,9,3231.0
0,Monday,10,2578.4
0,Monday,11,2737.4
0,Monday,12,3178.8
0,Monday,13,3466.8
0,Monday,14,3969.4
0,Monday,15,4426.0
0,Monday,16,4820.8
0,Monday,17,5354.8
0,Monday,18,5153.8
0,Monday,19,3750.2
0,Monday,20,2557.4
0,Monday,21,1813.2
0,Monday,22,1281.2
0,Monday,23,886.2
1,Tuesday,0,468.0
1,Tuesday,1,232.0
1,Tuesday,2,158.2
1,Tuesday,3,109.6
1,Tuesday,4,173.4
1,Tuesday,5,689.8
1,Tuesday,6,1954.6
1,Tuesday,7,4081.2
1,Tuesday,8,6323.4
1,Tuesday,9,4261.6
1,Tuesday,10,2573.8
1,Tuesday,11,2131.4
1,Tuesday,12,2354.4
1,Tuesday,13,2575.0
1,Tuesday,14,2904.6
1,Tuesday,15,3415.8
1,Tuesday,16,4041.4
1,Tuesday,17,5329.2
1,Tuesday,18,4766.4
1,Tuesday,19,3289.6
1,Tuesday,20,2124.8
1,Tuesday,21,1590.8
1,Tuesday,22,1186.2
1,Tuesday,23,706.2
2,Wednesday,0,411.0
2,Wednesday,1,226.6
2,Wednesday,2,140.0
2,Wednesday,3,115.2
2,Wednesday,4,180.0
2,Wednesday,5,708.2
2,Wednesday,6,1984.2
2,Wednesday,7,4162.4
2,Wednesday,8,6609.6
2,Wednesday,9,4646.4
2,Wednesday,10,3038.6
2,Wednesday,11,2850.2
2,Wednesday,12,3183.2
2,Wednesday,13,3300.4
2,Wednesday,14,3753.2
2,Wednesday,15,4217.8
2,Wednesday,16,5014.2
2,Wednesday,17,6711.0
2,Wednesday,18,6161.8
2,Wednesday,19,4196.6
2,Wednesday,20,2982.8
2,Wednesday,21,2340.4
2,Wednesday,22,1780.6
2,Wednesday,23,1124.0
3,Thursday,0,591.25
3,Thursday,1,284.75
3,Thursday,2,197.5
3,Thursday,3,130.75
3,Thursday,4,180.75
3,Thursday,5,643.0
3,Thursday,6,1835.5
3,Thursday,7,4006.25
3,Thursday,8,6050.5
3,Thursday,9,4278.25
3,Thursday,10,2827.0
3,Thursday,11,2876.5
3,Thursday,12,3329.5
3,Thursday,13,3513.0
3,Thursday,14,4224.0
3,Thursday,15,4928.0
3,Thursday,16,5799.25
3,Thursday,17,7618.0
3,Thursday,18,6875.75
3,Thursday,19,4936.25
3,Thursday,20,3350.0
3,Thursday,21,2605.25
3,Thursday,22,1934.25
3,Thursday,23,1201.75
4,Friday,0,697.0
4,Friday,1,376.75
4,Friday,2,238.75
4,Friday,3,153.5
4,Friday,4,187.5
4,Friday,5,599.25
4,Friday,6,1671.75
4,Friday,7,3517.0
4,Friday,8,5111.0
4,Friday,9,3851.5
4,Friday,10,2838.0
4,Friday,11,3016.75
4,Friday,12,3498.5
4,Friday,13,3797.0
4,Friday,14,4394.75
4,Friday,15,5032.5
4,Friday,16,5535.75
4,Friday,17,6243.25
4,Friday,18,5461.75
4,Friday,19,4147.0
4,Friday,20,2944.0
4,Friday,21,2296.75
4,Friday,22,1742.5
4,Friday,23,1327.0
5,Saturday,0,967.75
5,Saturday,1,668.0
5,Saturday,2,427.0
5,Saturday,3,283.75
5,Saturday,4,213.0
5,Saturday,5,235.25
5,Saturday,6,566.25
5,Saturday,7,1064.75
5,Saturday,8,2014.25
5,Saturday,9,2954.5
5,Saturday,10,3920.5
5,Saturday,11,4755.75
5,Saturday,12,4805.25
5,Saturday,13,4958.75
5,Saturday,14,4996.25
5,Saturday,15,4567.75
5,Saturday,16,4054.75
5,Saturday,17,3306.75
5,Saturday,18,2873.5
5,Saturday,19,2431.75
5,Saturday,20,1879.75
5,Saturday,21,1509.75
5,Saturday,22,1349.5
5,Saturday,23,1291.25
6,Sunday,0,986.5
6,Sunday,1,615.5
6,Sunday,2,353.75
6,Sunday,3,236.5
6,Sunday,4,150.75
6,Sunday,5,126.0
6,Sunday,6,289.0
6,Sunday,7,481.5
6,Sunday,8,868.75
6,Sunday,9,1528.5
6,Sunday,10,2310.75
6,Sunday,11,2651.5
6,Sunday,12,2852.5
6,Sunday,13,2936.75
6,Sunday,14,3186.0
6,Sunday,15,3276.5
6,Sunday,16,3166.5
6,Sunday,17,2579.5
6,Sunday,18,2410.0
6,Sunday,19,1965.5
6,Sunday,20,1542.0
6,Sunday,21,1269.75
6,Sunday,22,1070.5
6,Sunday,23,773.25
